"city","lat","lng","country","iso2","admin","capital","population","population_proper"
"Rio Branco","-9.966667","-67.8","Brazil","BR","Acre","admin","257642","257642"
"Cruzeiro do Sul","-7.633333","-72.6","Brazil","BR","Acre","","56862","56862"
"Sena Madureira","-9.066667","-68.666667","Brazil","BR","Acre","","26192","20516"
"Maceió","-9.652406","-35.722433","Brazil","BR","Alagoas","admin","1186000","814431"
"Arapiraca","-9.750035","-36.659731","Brazil","BR","Alagoas","","187668","166562"
"Rio Largo","-9.481869","-35.84637","Brazil","BR","Alagoas","","158545","63387"
"Penedo","-10.29103","-36.573579","Brazil","BR","Alagoas","","42097","32934"
"Palmeira dos indios","-9.411065","-36.628634","Brazil","BR","Alagoas","","41095","41095"
"Presidente Dutra","-5.285216","-44.487286","Brazil","BR","Alagoas","","30330","30330"
"Vila Velha","3.215464","-51.230103","Brazil","BR","Amapa","","1209091","275736"
"Macapa","0.035158","-51.061633","Brazil","BR","Amapa","admin","499166","368397"
"Santana","-0.042261","-51.168861","Brazil","BR","Amapa","","83927","53771"
"Amapa","2.068557","-50.791687","Brazil","BR","Amapa","","1947","1947"
"Manaus","-3.113333","-60.025278","Brazil","BR","Amazonas","admin","1753000","1520244"
"Natal","-6.983333","-60.283333","Brazil","BR","Amazonas","","980588","980588"
"Crato","-7.483333","-63.033333","Brazil","BR","Amazonas","","273883","54416"
"Parintins","-2.632757","-56.732798","Brazil","BR","Amazonas","","64428","64428"
"Manacapuru","-3.290776","-60.625954","Brazil","BR","Amazonas","","59102","52459"
"Coari","-4.093753","-63.139426","Brazil","BR","Amazonas","","53305","50490"
"Itacoatiara","-3.142026","-58.443621","Brazil","BR","Amazonas","","51509","51509"
"Tefe","-3.356333","-64.696393","Brazil","BR","Amazonas","","51437","44942"
"Maues","-3.390607","-57.71385","Brazil","BR","Amazonas","","32561","22475"
"Eirunepe","-6.659089","-69.870405","Brazil","BR","Amazonas","","21750","17175"
"Manicore","-5.811839","-61.291641","Brazil","BR","Amazonas","","21549","14055"
"Fonte Boa","-2.518404","-66.086733","Brazil","BR","Amazonas","","16060","11889"
"Sao Gabriel da Cachoeira","-0.11883","-67.085015","Brazil","BR","Amazonas","","15231","15231"
"Barcelos","-0.975355","-62.924509","Brazil","BR","Amazonas","","12584","7353"
"Novo Airao","-2.625838","-60.943524","Brazil","BR","Amazonas","","9049","9049"
"Tonantins","-2.870494","-67.804058","Brazil","BR","Amazonas","","4561","883"
"Salvador","-12.983333","-38.516667","Brazil","BR","Bahia","admin","3484000","2678845"
"Feira de Santana","-12.255514","-38.965922","Brazil","BR","Bahia","","481911","416478"
"Vitória da Conquista","-14.860602","-40.842659","Brazil","BR","Bahia","","308204","236437"
"Ilheus","-14.788949","-39.046474","Brazil","BR","Bahia","","230622","155499"
"Itabuna","-14.78648","-39.272775","Brazil","BR","Bahia","","221938","205660"
"Barreiras","-12.146051","-44.997652","Brazil","BR","Bahia","","158292","14199"
"Jequie","-13.86","-40.083333","Brazil","BR","Bahia","","135574","127475"
"Alagoinhas","-12.132504","-38.427789","Brazil","BR","Bahia","","124070","122688"
"Pôrto Seguro","-16.449502","-39.063499","Brazil","BR","Bahia","","123173","20889"
"Juazeiro","-9.420649","-40.504265","Brazil","BR","Bahia","","95132","95132"
"Paulo Afonso","-9.438741","-38.217467","Brazil","BR","Bahia","","85350","85350"
"Irece","-11.305563","-41.8587","Brazil","BR","Bahia","","63626","32533"
"Valenca","-13.372066","-39.072694","Brazil","BR","Bahia","","63231","49938"
"Itapetinga","-15.25","-40.25","Brazil","BR","Bahia","","59721","26727"
"Guanambi","-14.225972","-42.778218","Brazil","BR","Bahia","","58877","32583"
"Serrinha","-11.66113","-38.997617","Brazil","BR","Bahia","","56829","49078"
"Nova Vicosa","-17.890028","-39.368185","Brazil","BR","Bahia","","55980","4520"
"Senhor do Bonfim","-10.459629","-40.189241","Brazil","BR","Bahia","","48471","38683"
"Itamaraju","-17.043802","-39.530049","Brazil","BR","Bahia","","47628","22482"
"Itaberaba","-12.530067","-40.305439","Brazil","BR","Bahia","","47301","16143"
"Brumado","-14.20737","-41.671629","Brazil","BR","Bahia","","41989","16611"
"Jaguaquara","-13.530735","-39.969096","Brazil","BR","Bahia","","41498","19611"
"Bom Jesus da Lapa","-13.25","-43.416667","Brazil","BR","Bahia","","40691","40691"
"Remanso","-9.621255","-42.082331","Brazil","BR","Bahia","","37945","37945"
"Xique-Xique","-10.823803","-42.72965","Brazil","BR","Bahia","","35433","1833"
"Tucano","-10.964268","-38.784847","Brazil","BR","Bahia","","31203","1195"
"Ubaitaba","-14.314773","-39.319116","Brazil","BR","Bahia","","28375","26448"
"Canavieiras","-15.677141","-38.947917","Brazil","BR","Bahia","","26375","26375"
"Itambe","-15.244112","-40.620398","Brazil","BR","Bahia","","23558","7343"
"Santa Maria da Vitória","-13.390904","-44.197628","Brazil","BR","Bahia","","23488","2864"
"Santa Cruz Cabralia","-16.279733","-39.022595","Brazil","BR","Bahia","","19545","416"
"Fortaleza","-3.737464","-38.546167","Brazil","BR","Ceara","admin","3602319","2315116"
"Crato","-7.232173","-39.410949","Brazil","BR","Ceara","","273883","54416"
"Juazeiro do Norte","-7.211555","-39.314199","Brazil","BR","Ceara","","225230","220492"
"Sobral","-3.686716","-40.351535","Brazil","BR","Ceara","","157996","138883"
"Iguatu","-6.366667","-39.3","Brazil","BR","Ceara","","70380","42896"
"Itapipoca","-3.5","-39.583333","Brazil","BR","Ceara","","55784","6298"
"Crateús","-5.166667","-40.666667","Brazil","BR","Ceara","","52933","27743"
"Quixada","-4.966667","-39.016667","Brazil","BR","Ceara","","49328","12119"
"Camocim","-2.899983","-40.845038","Brazil","BR","Ceara","","44481","11108"
"Aracati","-4.566667","-37.766667","Brazil","BR","Ceara","","44293","11960"
"Caninde","-4.357642","-39.312132","Brazil","BR","Ceara","","42720","21450"
"Russas","-4.939011","-37.968919","Brazil","BR","Ceara","","39465","27762"
"Taua","-6","-40.283333","Brazil","BR","Ceara","","29188","29188"
"Acaraú","-2.883333","-40.116667","Brazil","BR","Ceara","","28389","13660"
"Icó","-6.4","-38.85","Brazil","BR","Ceara","","28323","3317"
"Ipu","-4.325698","-40.710286","Brazil","BR","Ceara","","26678","2281"
"Granja","-3.120093","-40.827317","Brazil","BR","Ceara","","25879","8587"
"Baturite","-4.333333","-38.883333","Brazil","BR","Ceara","","22417","13178"
"Paracuru","-3.412282","-39.030279","Brazil","BR","Ceara","","21196","18524"
"Brasilia","-15.783333","-47.916667","Brazil","BR","Distrito Federal","primary","3716996","2562963"
"Vitória","-20.332179","-40.345011","Brazil","BR","Espirito Santo","admin","1704000","312656"
"Vila Velha","-20.333333","-40.283333","Brazil","BR","Espirito Santo","","1209091","275736"
"Cachoeiro de Itapemirim","-20.852906","-41.1192","Brazil","BR","Espirito Santo","","187019","162598"
"Linhares","-19.393643","-40.058149","Brazil","BR","Espirito Santo","","105075","67751"
"Sao Mateus","-18.720196","-39.862631","Brazil","BR","Espirito Santo","","77117","49634"
"Goiania","-16.701028","-49.266793","Brazil","BR","Goias","admin","2022000","1171195"
"Anapolis","-16.326132","-48.950624","Brazil","BR","Goias","","319587","237604"
"Trindade","-16.653025","-49.49381","Brazil","BR","Goias","","97521","88705"
"Formosa","-15.533333","-47.333333","Brazil","BR","Goias","","81232","43939"
"Itumbiara","-18.412247","-49.214267","Brazil","BR","Goias","","79582","51105"
